,T1_Spelling,T1_ID,T1_Seed,T2_Spelling,T2_ID,T2_Seed,Predictions
0,south carolina,3376,1,usc,3425,1,0.60253185
1,south carolina,3376,1,texas,3400,1,0.5286107
2,south carolina,3376,1,iowa,3234,1,0.500482
3,south carolina,3376,1,ohio state,3326,2,0.6967604
4,south carolina,3376,1,notre dame,3323,2,0.6967604
5,south carolina,3376,1,ucla,3417,2,0.6967604
6,south carolina,3376,1,stanford,3390,2,0.6806291
7,south carolina,3376,1,lsu,3261,3,0.68983525
8,south carolina,3376,1,uconn,3163,3,0.68983525
9,south carolina,3376,1,nc state,3301,3,0.7251335
10,south carolina,3376,1,oregon state,3333,3,0.7251335
11,south carolina,3376,1,virginia tech,3439,4,0.7251335
12,south carolina,3376,1,kansas state,3243,4,0.7251335
13,south carolina,3376,1,indiana,3231,4,0.7251335
14,south carolina,3376,1,gonzaga,3211,4,0.7251335
15,south carolina,3376,1,baylor,3124,5,0.7251335
16,south carolina,3376,1,colorado,3160,5,0.7251335
17,south carolina,3376,1,utah,3428,5,0.7251335
18,south carolina,3376,1,oklahoma,3328,5,0.7251335
19,south carolina,3376,1,tennessee,3397,6,0.7251335
20,south carolina,3376,1,nebraska,3304,6,0.7251335
21,south carolina,3376,1,syracuse,3393,6,0.7251335
22,south carolina,3376,1,louisville,3257,6,0.7251335
23,south carolina,3376,1,duke,3181,7,0.78075445
24,south carolina,3376,1,ole miss,3279,7,0.78075445
25,south carolina,3376,1,creighton,3166,7,0.70936006
26,south carolina,3376,1,iowa state,3235,7,0.70936006
27,south carolina,3376,1,kansas,3242,8,0.78075445
28,south carolina,3376,1,alabama,3104,8,0.78075445
29,south carolina,3376,1,north carolina,3314,8,0.78075445
30,south carolina,3376,1,west virginia,3452,8,0.78075445
31,south carolina,3376,1,michigan,3276,9,0.78075445
32,south carolina,3376,1,florida state,3199,9,0.78075445
33,south carolina,3376,1,michigan state,3277,9,0.70936006
34,south carolina,3376,1,princeton,3343,9,0.78075445
35,south carolina,3376,1,richmond,3350,10,0.8100989
36,south carolina,3376,1,marquette,3266,10,0.74514097
37,south carolina,3376,1,unlv,3424,10,0.8100989
38,south carolina,3376,1,maryland,3268,10,0.74514097
39,south carolina,3376,1,middle tennessee,3292,11,0.8100989
40,south carolina,3376,1,texas a&m,3401,11,0.8100989
41,south carolina,3376,1,green bay,3453,11,0.74514097
42,south carolina,3376,1,auburn,3120,11,0.8100989
43,south carolina,3376,1,arizona,3112,11,0.8100989
44,south carolina,3376,1,florida gulf coast,3195,12,0.8100989
45,south carolina,3376,1,south dakota state,3355,12,0.8100989
46,south carolina,3376,1,columbia,3162,12,0.74514097
47,south carolina,3376,1,vanderbilt,3435,12,0.8100989
48,south carolina,3376,1,drake,3179,12,0.74514097
49,south carolina,3376,1,portland,3339,13,0.8100989
50,south carolina,3376,1,fairfield,3193,13,0.74514097
51,south carolina,3376,1,marshall,3267,13,0.8100989
52,south carolina,3376,1,uc irvine,3414,13,0.8100989
53,south carolina,3376,1,chattanooga,3151,14,0.8100989
54,south carolina,3376,1,jackson state,3238,14,0.8100989
55,south carolina,3376,1,rice,3349,14,0.8100989
56,south carolina,3376,1,eastern washington,3186,14,0.8100989
57,south carolina,3376,1,maine,3263,15,0.8100989
58,south carolina,3376,1,california baptist,3465,15,0.74514097
59,south carolina,3376,1,kent state,3245,15,0.8100989
60,south carolina,3376,1,norfolk state,3313,15,0.8100989
61,south carolina,3376,1,sacred heart,3357,16,0.8100989
62,south carolina,3376,1,holy cross,3221,16,0.8100989
63,south carolina,3376,1,presbyterian,3342,16,0.8100989
64,south carolina,3376,1,drexel,3180,16,0.8100989
65,south carolina,3376,1,ut martin,3404,16,0.8100989
66,south carolina,3376,1,a&m-corpus christi,3394,16,0.8100989
67,usc,3425,1,texas,3400,1,0.42561364
68,usc,3425,1,iowa,3234,1,0.3983343
69,usc,3425,1,ohio state,3326,2,0.55855155
70,usc,3425,1,notre dame,3323,2,0.55855155
71,usc,3425,1,ucla,3417,2,0.55855155
72,usc,3425,1,stanford,3390,2,0.5399228
73,usc,3425,1,lsu,3261,3,0.52338505
74,usc,3425,1,uconn,3163,3,0.52338505
75,usc,3425,1,nc state,3301,3,0.5657003
76,usc,3425,1,oregon state,3333,3,0.5657003
77,usc,3425,1,virginia tech,3439,4,0.5657003
78,usc,3425,1,kansas state,3243,4,0.5657003
79,usc,3425,1,indiana,3231,4,0.5657003
80,usc,3425,1,gonzaga,3211,4,0.5657003
81,usc,3425,1,baylor,3124,5,0.5657003
82,usc,3425,1,colorado,3160,5,0.5657003
83,usc,3425,1,utah,3428,5,0.5657003
84,usc,3425,1,oklahoma,3328,5,0.5657003
85,usc,3425,1,tennessee,3397,6,0.5657003
86,usc,3425,1,nebraska,3304,6,0.5657003
87,usc,3425,1,syracuse,3393,6,0.5657003
88,usc,3425,1,louisville,3257,6,0.5657003
89,usc,3425,1,duke,3181,7,0.7058145
90,usc,3425,1,ole miss,3279,7,0.7058145
91,usc,3425,1,creighton,3166,7,0.6218367
92,usc,3425,1,iowa state,3235,7,0.6218367
93,usc,3425,1,kansas,3242,8,0.7058145
94,usc,3425,1,alabama,3104,8,0.7058145
95,usc,3425,1,north carolina,3314,8,0.7058145
96,usc,3425,1,west virginia,3452,8,0.7058145
97,usc,3425,1,michigan,3276,9,0.7058145
98,usc,3425,1,florida state,3199,9,0.7058145
